,city,country,latitude,longitude,max_temperature,humidity,cloudiness,wind_speed
118,Diamantino,BR,-14.41,-56.45,296.03,47.0,9.0,1.96
119,Chemainus,CA,48.92,-123.72,305.15,27.0,5.0,4.1
120,Colorado springs,US,38.83,-104.82,300.15,43.0,75.0,3.6
121,Kazachka,RU,53.36,38.07,285.52,95.0,0.0,3.06
122,Saint-philippe,RE,-21.36,55.77,293.15,77.0,20.0,3.6
123,Broken hill,AU,-31.95,141.43,285.15,62.0,0.0,4.6
124,Kaeo,NZ,-35.1,173.78,289.26,3.0,100.0,4.47
125,Thompson,CA,55.74,-97.86,292.15,93.0,75.0,1.5
126,Fengcheng,CN,40.45,124.07,296.71,82.0,100.0,3.27
127,Poyarkovo,RU,49.6,128.68,300.7,52.0,100.0,2.6
128,Port hedland,AU,-20.32,118.57,294.15,21.0,0.0,2.1
129,Aklavik,CA,68.22,-135.01,298.15,41.0,40.0,6.2
130,Lorengau,PG,-2.02,147.27,303.27,67.0,100.0,5.32
131,Tura,IN,25.52,90.22,298.11,93.0,70.0,2.04
132,Tuktoyaktuk,CA,69.45,-133.04,292.15,63.0,75.0,1.5
133,Hilo,US,19.73,-155.09,302.15,54.0,1.0,5.1
134,Pervomayskoye,RU,43.92,46.71,291.79,63.0,0.0,2.42
135,Fortuna,US,40.6,-124.16,293.15,73.0,1.0,1.79
136,Clyde river,CA,70.47,-68.59,276.15,100.0,90.0,6.2
137,Portland,US,45.52,-122.68,309.26,26.0,20.0,4.1
138,Tres arroyos,AR,-38.37,-60.28,280.36,66.0,68.0,7.22
139,Kavieng,PG,-2.57,150.8,302.81,73.0,100.0,4.36
140,Talnakh,RU,69.49,88.4,294.15,52.0,59.0,9.0
141,Kavaratti,IN,10.57,72.64,301.09,78.0,100.0,8.66
142,Pevek,RU,69.7,170.31,275.48,97.0,100.0,4.2
143,Mayachnyy,RU,52.68,55.69,289.45,54.0,86.0,3.18
144,Birao,CF,10.28,22.79,294.3,92.0,76.0,1.55
145,Kailua,US,21.4,-157.74,301.15,65.0,40.0,6.7
146,Korla,CN,41.76,86.15,297.04,66.0,0.0,0.89
147,Nuevo progreso,MX,23.17,-97.95,302.59,86.0,49.0,2.78
148,San patricio,MX,19.22,-104.7,303.15,74.0,40.0,2.17
149,Lichuan,CN,30.3,108.85,296.68,82.0,85.0,0.71
150,Ahuimanu,US,21.44,-157.84,304.15,65.0,40.0,6.7
